personen_id;schreibweisen;quelle;anzahl_nennungen;erste_nennung;letzte_nennung;nennungsspanne_jahre;nennung_in_urkunden;nennung_in_buergerbuch;nennung_in_verlassenschaften;soziale_gruppe;beruf;unsicherheit_anmerkung
walthauser_messerer;Walthauser Messerer;Bürgerbuch;1;1580;1580;0;;BB-1846;;buerger;Schuster;
walthauser_talman;Walthauser Talman|Walthauser Thallman;Bürgerbuch;2;1568;1568;0;;BB-1221|BB-1235;;buerger;Schneider;
waltheuser_muellner;Waltheuser Müllner;Bürgerbuch;1;1587;1587;0;;BB-2074;;buerger;Drechsler;
walthezarn_eykenperger;Walthezarn Eykenperger;Urkunden;1;1480;1480;0;StaAKr-0443;;;buerger;;
wastl_sternegger;Wastl Sternegger;Bürgerbuch;1;1565;1565;0;;BB-1079;;buerger;Hutmacher;
watzlaw_wultzkho_von_zenaw;Watzlaw Wultzkho von Zenaw;Urkunden;1;1490;1490;0;StaAKr-0529;;;buerger;;
weippot_pehem;Weippot Pehem;Urkunden;1;1410;1410;0;StaAKr-0158;;;buerger;;
weisgot_pehem;Weisgot Pehem;Urkunden;1;1404;1404;0;StaAKr-0129;;;buerger;;
wendelin_hartschmidt;Wenndl Hartschmidt;Bürgerbuch;2;1559;1559;0;;BB-0792|BB-0809;;buerger;Nadler;
wennko_von_rochmanau;Ledwenko von Rochmanau|Wennko von Rochmanau;Urkunden;2;1454;1458;4;StaAKr-0322|StaAKr-0373;;;buerger;;
wennzel_tuerwacher;Wennzel Tuerwacher;Bürgerbuch;1;1543;1543;0;;BB-0120;;buerger;;
wenzel_pfann;Wenzl Pfann;Bürgerbuch;1;1567;1567;0;;BB-1212;;buerger;Schmied;
wenzel_phillip;Wenzl Phillip;Bürgerbuch;2;1582;1582;0;;BB-1914|BB-1932;;buerger;Weißgerber;
wenzl_neustetter;Wenzl Neustetter;Bürgerbuch;1;1596;1596;0;;BB-2271;;buerger;Handschuhmacher;
wenzl_saulick;Wennzl Saulickh;Bürgerbuch;1;1547;1547;0;;BB-0218;;buerger;Seiler;
wenzl_tschinaegg;Wenzl Tschinägg;Bürgerbuch;1;1610;1610;0;;BB-2473;;buerger;;
werhart_nymmervol;Werhart Nymmervol;Urkunden;1;1456;1456;0;StaAKr-0340;;;buerger;;
wernhard_han;Wernhard Han;Urkunden;1;1366;1366;0;StaAKr-0039;;;buerger;;
wernhard_von_passau;Wernhard von Passau;Urkunden;4;1295;1314;19;StaAKr-0004|StaAKr-0006|StAKr-UrkKr-0009|StAKr-UrkKr-0010;;;buerger;;
wernhardt_span;Wernhardt Span;Bürgerbuch;1;1549;1549;0;;BB-0320;;buerger;;
wernhart_teurbanger;Wernhart Teurbanger;Urkunden;1;1447;1447;0;StaAKr-0293;;;buerger;;
wernhart_trongassinger;Wernhart Trongassinger;Urkunden;1;1404;1404;0;StaAKr-0128;;;buerger;;
wernhart_von_eferding;Wernhart von Eferding;Urkunden;1;1419;1419;0;StaAKr-0196;;;buerger;;
wernhart_von_everding;Wernhart von Everding;Urkunden;2;1401;1404;3;StaAKr-0115|StaAKr-0128;;;buerger;;
wernhart_wuerffel;Werhart Würffel|Wernhart Würffel;Urkunden;4;1438;1447;9;StaAKr-0270|StaAKr-0271|StaAKr-0278|StaAKr-0297;;;buerger;;
weygl_maurer;Weygl Maurer;Urkunden;1;1399;1399;0;StaAKr-0097;;;buerger;;
wibold_hueber;Wibold Hueber;Urkunden;1;1526;1526;0;StaAKr-0670c;;;buerger;;
wigolaus_von_volkensdorf;Nikolaus von Volkensdorff|Wigolaus von Volkensdorf;Urkunden;2;1443;1443;0;StaAKr-0276|StAK-Stein-2012;;;adel;;
wilbolt_knittinnger;Wilbolt Knittinnger;Bürgerbuch;1;1552;1552;0;;BB-0448;;buerger;Schuster;
wilghaser_tallman;Wilghaser Tallman;Bürgerbuch;1;1567;1567;0;;BB-1152;;buerger;Schneider;
wilhalbm_pitterstorffer;Wilhalbm Pitterstorffer;Bürgerbuch;1;1569;1569;0;;BB-1300;;buerger;;
wilhalbm_schmidthueber;Wilhalbm Schmidthueber;Bürgerbuch;1;1577;1577;0;;BB-1646;;buerger;Taschner;
