orte_id;orte;lat;lon;haeufigkeit;orte_unsicher;unsicherheit_anmerkung
hallein;Hallein;47,6821521;13,0956313;1;nein;
hardegg;Hardegg;48,8536837;15,8585681;3;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0141).
hardleithen;Hardleithen;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0242).
hasendorf;Hasendorf;47,0774476;16,2977252;1;nein;
herzogenburg;Herzogenburg;48,2843295;15,6946065;3;nein;
hodonin;Hodonín;48,8563914;17,1234655;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0342).
hofarnsdorf;Hofarnsdorf;48,445;15,52;2;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0740a).
hohenberg;Hohenberg;47,9105417;15,6198852;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0365).
hollenburg;Hollenburg;48,4433;15,6175;4;ja;Ortsidentifikation in 2 Urkunden als unsicher markiert (Signatur(en): StaAKr-0001b|StaAKr-0125).
horn_im_waldviertel;Horn im Waldviertel;48,6617;15,6567;3;nein;
imbach;Imbach;48,4391368;15,5772821;14;nein;
innigen;Innigen;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0628b).
innsbruck;Innsbruck;47,2654296;11,3927685;5;nein;
jindrichuv_hradec_suedboehmen;Jindřichův Hradec, Südböhmen;49,1444;15,0031;1;nein;
karlstadt;Karlstadt;49,9698176;9,7441397;2;ja;Ortsidentifikation in 2 Urkunden als unsicher markiert (Signatur(en): StaAKr-0715|StaAKr-0735b).
karlstetten;Karlstetten;48,2586538;15,5656447;1;nein;
keltsch_tschechien;Keltsch, Tschechien;49,4786;17,8158;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-866a).
kempten;Kempten;47,7267063;10,3168835;1;nein;
klosterneuburg;Klosterneuburg;48,30499;16,323756;9;nein;
kollmitz;Kollmitz;48,3892181;15,4478834;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0307).
korneuburg;Korneuburg;48,3451838;16,3215402;20;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StAK-UrkKr-0084).
kottaun;Kottaun;48,8234399;15,6754423;1;nein;
kottes;Kottes;48,4163185;15,3035193;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0804).
krems;Krems;48,4094;15,6057;277;nein;
kremsmuenster;Kremsmünster;48,0533652;14,128766;6;nein;
kreuzenstein;Kreuzenstein;48,3575;16,3311;1;nein;
laa_an_der_thaya;Laa an der Thaya;48,7210387;16,3853207;3;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0321).
lambach;Lambach;48,0919647;13,8724131;2;nein;
landshut;Landshut;48,536217;12,1516551;1;nein;
langenlois;Langenlois;48,472601;15,676295;31;nein;
laufen_an_der_salzach;Laufen an der Salzach;47,9354122;12,930309;2;ja;Ortsidentifikation in 2 Urkunden als unsicher markiert (Signatur(en): StaAKr-0104|StaAKr-0374).
laxenburg;Laxenburg;48,0686831;16,3561206;1;nein;
