signatur;datum;datum_normiert;datum_unsicher;jahr;orte;orte_unsicher;regest;personen;personen_id;personen_unsicher;kategorien;unsicherheit_anmerkung;foto_ordner
StAK-Stein-2020;1491 XII 27;1491_12_27;nein;1491;Stein;nein;"Kaiser Freidrich III. befreit die Stadt Stein von allen Steuern, Annschlägen und Ungelt, mit Ausnahme von Robot, Wacht und ""Sehkart""?";Friedrich III.;friedrich_iii;nein;Politik|Vermögen und Finanzen;;StAK-Stein-2020
StAK-Stein-2021;1492 I 16;1492_01_16;nein;1492;Krems|Korneuburg;nein;Kaiser Freidrich III. befiehlt allen Städten an der Donau, daß künftig Wein, Getreide und Salz nur in den Städten Krems und Korneuburg in die Niederlagen geführt werden dürfen.;Friedrich III.;friedrich_iii;nein;Politik|Vermögen und Finanzen|Wirtschaft;;StAK-Stein-2021
StAK-UrkKr-0541;1492 XII 11;1492_12_11;nein;1492;Linz;nein;1492 XII 11, Linz (zu? Lÿnntz) Kaiser Friedrich [III.] erteilt (haben ... von sonndern gnaden die gnad getan) als Herr und Landesfürst in Österreich unter und ob der Enns für sich und seine Nachfahren den Ersamen Weisen, besonnder lieben und getrewn Bürgermeister, Richter, Rat und die Bürger in Krems (Krembs) sowie alle Nachfahren aufgrund der treuen Dienste in vielfältigen Angelegenheiten, besonders aber, dass sie die Stadt in zahlreichen Kampfhandlungen (etwevil krieg) für den Aussteller verteidigt haben, die Gnade und befreit (begeben und nachgelassen haben, Tun nachlassen und begeben) fortan alle Personen, Pferde und alle Güter (hab und gu?t), die hinübergehen, -reiten oder -geführt werden, von der Brückenmaut in Stein (Stain), sodass sie fortan kein Brückengeld (Pru?gkhgellt) und keine Maut (Mawtt) zahlen müssen, sondern davon befreit (vertragen) sind. Dazu sollen sie von den Mautnern unbehelligt bleiben. Er gebietet (gebieten) allen Hauptleuten, Landmarschällen, Grafen, Freiherren, Rittern und Knechten, Verwesern, Hubmeistern, Vizedomen, Pflegern, Burggrafen, Landrichtern, Bürgermeistern, Richtern, Räten, Bürgen, Gemeinden und allen anderen Amtsleuten und Untertanen, besonders Bernhard Karlinger, seinem diener und Brückengeldeinnehmer, sowie allen zukünftigen Mautnern oder Brückengeldeinnehmern und befiehlt (wellen), die Bürger sowie alle Erben und Nachfahren in den verliehen Gnaden und Freiheiten bezüglich Brückengeld und Brückenmaut weder zu behindern, noch zuzulassen, dass irgendjemand dies tut. Siegler: der Aussteller. Quelle Regest: Stadtarchiv Krems, 2020.;Friedrich III.|Bernhard Karlinger;friedrich_iii|bernhard_karlinger;nein;Politik|Rechtswesen|Stadt und Raum|Vermögen und Finanzen|Verwaltung|Wirtschaft;;StAK-UrkKr-0541
StaAKr-0876;1493 I 12;1493_01_12;nein;1493;Linz;nein;1493 I 12, Linz Kaiser Friedrich III. bestätigt die Privilegien der Stadt Krems.;Friedrich III.;friedrich_iii;nein;Politik|Rechtswesen;;StaAKr-0876
StaAKr-0542;1493 I 13;1493_01_13;nein;1493;Krems;nein;1493 I 13 Abschrift der goldenen Bulle. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);;;nein;Politik|Rechtswesen;;StaAKr-0542
StaAKr-0543;1493 II 25;1493_02_25;nein;1493;Wilhering;nein;"1493 II 25, Wilhering Abt Thomas und der Konvent von Wolhering kaufen ein Haus in Krems in der hindern Landstraß gegen dem geslen über, da man durch die zuntstuben aushin geet von Konrad Stockhaimer; sie verpflichten sich, allen Forderungen wie die anderen Bürger nachzukommen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Abt Thomas|Konrad Stockhaimer;abt_thomas|konrad_stockhaimer;nein;Religion|Stadt und Raum|Vermögen und Finanzen;;StaAKr-0543
StaAKr-0544;1493 XI 22;1493_11_22;nein;1493;Krems;nein;1493 XI 22, Krems Richter und Rat von Krems senden zur Erbhuldigung Max I. den Bürgermeister, drei Ratsherrn, 4 Genannte, 4 von der Gemeinde. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Maximilian I.;maximilian_i;nein;Politik;;StaAKr-0544
StaAKr-0545;1494 V 9;1494_05_09;nein;1494;Kempten;nein;"1494 V 9, Kampidone Königin Blanca Maria richtet an Krems ihre ""preces primariae"": ein Kanonikat für den Cleriken Bartolomeus Weixlpaum de Krembs. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Blanca Maria|Bartolomeus Weixlpaum de Krembs;bianca_maria_sforza|bartolomeus_weixlpaum_de_krembs;nein;Religion;;StaAKr-0545
StaAKr-0546;1495 I 8;1495_01_08;nein;1495;Reinprechtspölla|Absdorf|Passau;nein;"1495 I 8, Krems Leonhart Purckstaller zu Rainspach verkauft Urban Heytl, Richter und Spitalmeister zu Krems, dem Spital und der Kirche seinen Getreide u. Weinzehent, Safranzehent zu Absdorf (Lehen von Passau), 2 bef. Holden daselbst um 460 Pfund; welche Heinrich Stöckl, Ratsherr zu Krems dem Spital vermachte. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Leonhart Purckstaller|Urban Heytl|Heinrich Stöckl;leonhart_purckstaller|urban_heutl|heinrich_stoekchl;nein;Religion|Soziales Leben|Vermögen und Finanzen|Wirtschaft;;StaAKr-0546
StAK-Stein-2022;1495 II 5;1495_02_05;nein;1495;Krems|Stein;nein;König Maximilian setzt die Erklärung seines Vaters Freidrichs III. über den Getreide- und Salzhandel in Krems und Stein außer Kraft.;Maximilian I.|Friedrich III.;maximilian_i|friedrich_iii;nein;Politik|Wirtschaft;;StAK-Stein-2022
