signatur;datum;datum_normiert;datum_unsicher;jahr;orte;orte_unsicher;regest;personen;personen_id;personen_unsicher;kategorien;unsicherheit_anmerkung;foto_ordner
StaAKr-0001;1108 IX 6;1108_09_06;nein;1108;Tulln|Göttweig|Mautern an der Donau;nein;1108 IX 6, Tulln König Heinrich V. schenkt dem Stifte Götweig die Insel Mautarnergmerk auf der Donau Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Heinrich V.;heinrich_v;nein;Religion|Vermögen und Finanzen;;StaAKr-0001
StaAKr-0001a;1214;1214_00_00;ja;1214;Passau|Gobelsburg|Haindorf bei Langenlois|Grafendorf bei Gobelsburg|Zeiselberg bei Gobelsburg;nein;1214, Krems Bischof Manegold von Passau gestattet mit Zustimmung des Dechants Konrad von Krems, daß in der Kapelle von Gobelsburg. Haindorf Grafendorf und Zeiselberg pfarrkirliche Funktionen ausgeübt werden können. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Manegold von Passau|Konrad von Krems;manegold_von_passau|konrad_von_krems;nein;Religion;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAKr-0001a
StaAKr-0001b;um 1230;1230_00_00;ja;1230;Marquartsurfar|St. Georgen an der Traisen;ja;um 1230, Krems Vergleich zwischen dem Dechant Konrad von Krems und dem Probst von St.Georgen über die Kirche in Marquensurfar. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Konrad;konrad_1230;nein;Religion;"Ortsidentifikation unsicher: Marquartsurfar (nicht eindeutig aus dem Regest-Text ableitbar) | Datierung unsicher: Nur ungefähre Datierung (""um 1230"") überliefert, kein exaktes Jahr.";StaAKr-0001b
StaAKr-UrkKr-0002;1250;1250_00_00;ja;1250;Krems;nein;1250, Krems ( in Chrembs ) Die Bürgerschaft von Krems und Stein ( universitas civium in Chrembs et in Stain ) stimmt zu ( arbitramur ), alle Freiheiten und Rechte ( omnem libertatem et singula iura ), die Kaiser Heinrich [II.] der Kirche St. Veit in Krems ( ecclesiam Sancti Viti in Chrembs ) gegeben hat, wie sie in den Privilegien des Kaisers ( ipsius regali privilegis ) festgeschrieben sind, anzuerkennen, da der Patron und das Seelenheil erfordern, dieser Sache angemessene Anerkennung ( condignam reverentiam totis viribus ) entgegenzubringen. Source Regest: Stadtarchiv Krems, 2020.;Heinrich II.;heinrich_ii;nein;Politik|Religion;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAKr-UrkKr-0002
StAK-UrkKr-0002a;1259 XI 17;1259_11_17;nein;1259;Emmersdorf an der Donau;nein;1259 XI 17, Krems ( Chrembs ) König Ottokar [II. Premysl] von Böhmen erteilt ( duximus faciendam ) aus Freigiebigkeit und Gnade ( libertatem et gratiam ) allen Untertanen von Emmersdorf an der Donau ( universis hominibus suis in Eymersdorf ) aufgrund ihrer Not und Schwierigkeiten ( deffectus varios et pressuras ) alle Rechte ( omnibus iuribus ) vollständig und ohne Abschläge ( ex integro et in pleno ), wie sie die die Städte Krems und Stein ( quo gaudent in Chrems et in Steyn ) auf der Donau ( super danubio ) innehaben. Die Begünstigten sollen alle verliehenen Rechte ungestört genießen. Source Regest: Stadtarchiv Krems, 2020.;Ottokar II.;premysl_ottokar_ii;nein;Politik|Rechtswesen;;StAK-UrkKr-0002a
StAK-UrkKr-0003;1277 VI 12;1277_06_12;nein;1277;Wien|Krems;nein;1277 VI 12 [Insert] / 1472 II 5 [Vidimus], Wien (Wienne) [Insert] / Wien (Wienn) [Vidimus] Matthias, Abt des Schottenstifts in Wien, vidimiert (geben ... unser Vidimus) Bürgermeister, Rat und der gesamten Bürgerschaft der Stadt Krems (Krembs) auf deren Bitten die im Volltext inserierte Urkunde König Rudolfs [I.], nachdem die Supplikanten die lateinische Pergamenturkunde durch einen Boten (sanndtpoten) an den Aussteller überbringen haben lassen, damit dieser sie rechtsmäßig beglaubige (ware zeugnu?ss und vidimus u?nder u?nnserm Insigil geben), sobald er sie gelesen und für echt (in geschrifft und Insigiln gerechten) befunden hat. Insert: König Rudolf [I.] verleiht (duximus concedendam) der Bürgerschaft von Krems (Cives de Chrembsa) aufgrund von deren bedingungsloser Treue und der Unerschütterlichkeit ihrer Demut, die die Begünstigten gegenüber König und Reich entgegengebracht haben, und auch, da der Aussteller aufgrund der Not und den Beschädigungen der Stadt (civitatisque ipsorum indigneciam et ruinam) Mitleid empfindet (compatimur), alle Rechte, Freiheiten und Zugehörungen (iuribus, libertatibus et eiusdem attinentiis universis) auf der steinernen Mautbrücke (Mutam Pontis sublapide) in Krems, solange sie diese für den Schutz und die Befestigung der Stadt (munienda sive firmanda ipsa Civitate) benötigen, sofern das durch die Maut eingenommene Geld (Mute Pecunia) durch ehrliche und treue Männern für nichts anderes als den Wiederaufbau und für ein einziges Jahr eingenommen wird. Siegler: der Aussteller. Quelle Regest: Stadtarchiv Krems, 2020.;Abt Matthias|Rudolf I.;abt_matthias|rudolf_i;nein;Politik|Stadt und Raum|Vermögen und Finanzen|Wirtschaft;;StAK-UrkKr-0003
StaAKr-0004;1295 X 28;1295_10_28;nein;1295;Passau;nein;1295 X 28, Krems Bischof Wernhard von Passau bestätigt die Erlaubnis des Dechants und Pfarrers Gottgfried von Krems, dass an dem wiedererrichteten Bürgerspitale daselbst ein Priester angestellte werden dürfe. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Wernhard von Passau|Gottgfried von Krems;wernhard_von_passau|gottgfried_von_krems;nein;Gesundheit|Religion|Soziales Leben;;StaAKr-0004
StAK-UrkKr-0004a;1296 XII 28;1296_12_28;nein;1296;Krems;nein;1296 XII 28, Krems ( in Chremsa ) Herzog Albrecht [I.] von Österreich bestätigt ( approbamus ) den Kürschnern in Krems ( cerdonum in Chrems ) die Rechte und rechtmäßigen Gewohnheiten ( iura et honestas consuetudines ), die sie bis dahin ehrbar geführt haben, und gewährt ( concedentes ) ihnen aus besonderer Gnade, das Privileg der Zunftbildung in ihrem Handwerk ( privilegio consortis seu fraternitatis in suo artificio ) zu genießen, dass, wenn jemand durch sie in die Zunft aufgenommen wird, ein Pfund Pfennige ( una libra denarum ) in die Lade der Ledererzunft ( ad cecham fraternitatis predictorum cerdonum ), ein Eimer ( urna ) Wein zur Verpflegung ( solacio ) sowie dem Stadtrichter ( iudici loci ), der zu dieser Zeit amtiert, ein halbes Pfund Pfennige ( dimidia libra denarum ) gegeben werden soll, auf dass er Mitglied ( particeps ) mit allen Rechten und Privilegien ( omnibus iuribus et graciis ) der Zunft sei. Source Regest: Stadtarchiv Krems, 2020.;Albrecht I.;albrecht_i;nein;Rechtswesen|Wirtschaft;;StAK-UrkKr-0004a
StaAK-UrkKr-0005;1300;1300_00_00;ja;1300;Mautern an der Donau;nein;Anfang des 14. Jhdts. Zinsrotel mit einem Verzeichnis jener Untertanen in der Stadt Krems , die zu Michaelis Burgrecht ( pue?rchrecht ) den Kranken ( siechen ) [im Bürgerspital der Stadt Krems ] übergibt. Genannt sind Heinrich der Ircher , Seifried der Keller ( Celler ), Rudolf der Kramer ( chramer ), Rudlein Zoller , Rudolf der Pech , das Stift Zwettl ( hern von Zwetel ), Berthold der Schneider ( Sneider ), der lange Walchun , der Grabmeister , das Unghaurn -Haus, der Salman -Keller, der Zaizmaer , Konrad der Durst ( Du?rst ), Andreas Mühldorfer ( Muldorfer ), Friedrich der Haller , der Pausman , erneut Rudolf der Pech , Friedrich der Eisner , Heinrich der Harmlast , Otto der Salzmann ( Salzman ), Peter , Hildebrand ( Hilprant ), Rewein , Friedrich der Stein ( Stain ), Konrad der Öler , Ulrich von St. Michael ( sand Michel ), Frenchin von Radendorf , Gerbirg Leubserin , Rudel Pofla , Ludwig in dem alten Spital , die Zuntin , Albrecht der Ringberger ( Ringwerger ), die Ehefrau von Otto Pech, Seidel die Ehefrau von Seifried Hartsaid, Ulrich Misenwech, Thomas der Floßhacker (Vlezhacher), die Zwaimanin, die krumme (chrump) Weberin, Berthold Wagenknecht (wagenchnecht), der Stichler, der Gefsl, Gisela Graserin, Eberhard in der Chue, die Ulreichin, der reiche Ulrich, Peter der Neustift, Seifried der Sohn von Rüdiger, Heinrich der Gereuter (Chreuter), der Manichman, Dietmar Prenner, Berthold der Part, der Parss, der Seefelder (Sevelder), Otto der Chransperger, Markhard der Rent, die Marincherin, Rapoto der Prenner, Heinrich der Sohn von Gottschalk, der Graniwan, Wolfhartin von Mautern (Meutarn), Lehentz Reinold, Heinrich der Chunter, Hildebrand der Junge, der Westerburger, Otto der Führer (Fuerer), die Herbortin, der Alram sowie Ulrich Gerler. Quelle Regest: Stadtarchiv Krems, 2020.;Heinrich Ircher|Seifried Keller|Rudolf Kramer|Rudlein Zoller|Rudolf der Pech|Berthold Schneider|Walchun|Konrad Durst|Andreas Mühldorfer|Friedrich Haller|Friedrich Eisner|Heinrich Harmlast|Otto Salzmann|Peter|Hildebrand|Rewein|Friedrich Stein|Konrad Öler|Ulrich von St. Michael|Frenchin von Radendorf|Gerbirg Leubserin|Rudel Pofla|Ludwig|Albrecht Ringberger|Otto Pech|Seidel|Seifried Hartsaid|Ulrich Misenwech|Thomas Floßhacker|Berthold Wagenknecht|Gisela Graserin|Eberhard|Ulrich|Peter Neustift|Seifried|Rüdiger|Heinrich Gereuter|Dietmar Prenner|Berthold Part|Otto Chransperger|Markhard Rent|Rapoto Prenner|Heinrich|Gottschalk|Wolfhartin von Mautern|Lehentz Reinold|Heinrich Chunter|Hildebrand Junge|Otto Führer|Alram|Ulrich Gerler;heinrich_ircher|seifried_keller|rudolf_kramer|rudlein_zoller|rudolf_der_pech|berthold_schneider|walchun_1300|konrad_durst|andreas_muehldorfer|friedrich_haller|friedrich_eisner|heinrich_harmlast|otto_salzmann|peter_1300|hildebrand_1300|rewein_1300|friedrich_stein|konrad_oeler|ulrich_von_st_michael|frenchin_von_radendorf|gerbirg_leubserin|rudel_pofla|ludwig_1300|albrecht_ringberger|otto_pech|seidel_1300|seifried_hartsaid|ulrich_misenwech|thomas_flosshacker|berthold_wagenknecht|gisela_graserin|eberhard_1300|ulrich_1300|peter_neustift|seifried_1300|ruediger_1300|heinrich_gereuter|dietmar_prenner|berthold_part|otto_chransperger|markhard_rent|rapoto_prenner|heinrich_1300|gottschalk_1300|wolfhartin_von_mautern|lehentz_reinold|heinrich_chunter|hildebrand_junge|otto_fuehrer|alram_1300|ulrich_gerler;nein;Gesundheit|Soziales Leben|Vermögen und Finanzen;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAK-UrkKr-0005
StaAKr-0006;1301 IV 22;1301_04_22;nein;1301;Sankt Pölten|Passau;nein;1301 IV 22, St. Pölten Bischof Wernhard von Passau gewährt zu Ehren der heil. Maria einen Ablass und lässt diesen durch Dechant Gotfried im Kremser Dechanat verkünden. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Wernhard von Passau|Dechant Gotfried;wernhard_von_passau|dechant_gotfried;nein;Religion;;StaAKr-0006
StaAKr-0007;1305 VI 24;1305_06_24;nein;1305;Wien;nein;1305 VI 24, Wien Herzog Rudolf III. betätigt den Städten Krems und Stein ihre alte Rechte und verleiht ihnen die Rechte der Stadt Wien. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Rudolf III.;rudolf_iii;nein;Politik|Rechtswesen;;StaAKr-0007
StaAKr-0008;1305 VI 24;1305_06_24;nein;1305;Wien;nein;1305 VI 24, Wien Herzog Rudolf III. gibt den Städten Krems und Stein die Rechte der Wiener Bürger Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Rudolf III.;rudolf_iii;nein;Politik|Rechtswesen;;StaAKr-0008
StaAKr-0873;1305 VI 24;1305_06_24;nein;1305;Wien;nein;1305 VI 24, Wien Herzog Rudolf III. verleiht den Städten Krems und Stein das Wiener Stadtrecht von 1278 (Stadtrecht II).;Rudolf III.;rudolf_iii;nein;Politik|Rechtswesen;;StaAKr-0873
StAK-Stein-2000;1305 VI 24;1305_06_24;nein;1305;Krems|Stein;nein;Herzg Rudolf III. bestätigt die Rechte der Städte Krems und Stein und verleiht diesen außerdem das Wiener Stadtrecht.;Rudolf III.;rudolf_iii;nein;Politik|Rechtswesen;;StAK-Stein-2000
StAKr-UrkKr-0009;1314 VII 1;1314_07_01;nein;1314;Mautern an der Donau|Passau;nein;1314 VII 1, Mautern (Mautarn) Bischof Wernhard ( W[ern]hardus ) von Passau erteilt einen Ablass ( relaxamus ) an alle diejenigen, die die Frauenbergkirche in Krems ( ecc[lesi]am beate v[ir]ginis in Chrems in monte ), die zur Diözese Passau gehört ( Pat[aviensis] dyocesis ), an den vier Marienfesten ( in quatuor festivitatibus glo[rio]se v[ir]ginis Marie ) und am Jahrestag der Kircheneinweihung besuchen. Dieser Ablass umfasst vierzig Tage ( quadraginta dies c[ri]minaliu[m] ). Weiters bestätigt ( confirmantes ) der Aussteller alle Ablässe, die seine Vorgänger, die ehrenwerten Erzbischöfe und Bischöfe dieser kirche ( Passau ) gewährt haben. reverendi archiep[iscop]i et ep[iscopi] p[re]d[i]c[t]e Ecc[lesi]e ) gewährt haben. Source Regest: Rosa Magits, September 2024;Wernhard von Passau;wernhard_von_passau;nein;Religion;;StAKr-UrkKr-0009
StAKr-UrkKr-0010;1314 VII 1;1314_07_01;nein;1314;Passau;nein;1314 VII 1, Mautern ( Mautarn ) Bischof Wernhard ( W[er]nhardus ) von Passau erteilt einen Ablass ( relaxamus ) an diejenigen, die die St.-Veits-Kirche in Krems ( Ecc[lesi]am beati Viti in Chrems ) am Tag der Kirchenpatrone, am Jahrestag der Einweihung und den zur Kirche gehörigen Friedhof und Karner ( cimiteriu[m] seu carnariu[m] d[i]c[t]e ecc[lesi]e ) am Montag ( secunda feria ) besuchen, um für die Verstorbenen zu beten. Dieser Ablass umfasst vierzig Tage ( Quadraginta dies c[ri]minaliu[m] ). Weiters bestätigt ( confirmantes ) der Aussteller alle Ablässe, die seine Vorgänger, die ehrenwerten Erzbischöfe und Bischöfe von Passau ( reverendi patres d[omi]ni Archiep[iscop]i et ep[iscop]i ) gewährt haben. Source Regest: Rosa Magits, September 2024.;Wernhard von Passau;wernhard_von_passau;nein;Religion;;StAKr-UrkKr-0010
StAK-UrkKr-0011;1322 III 12;1322_03_12;nein;1322;Baumgartenberg;nein;1322 III 12 [1322 IV 24?] Markhard ( Marichart ), Bürger von Krems auf der Hülben ( Huliben ), stiftet ( geben han ) mit Zustimmung seiner Frau Mechthild ( Matz ), seiner Tochter Elisabeth ( Elspeten ) und seinem Sohn Konrad ( Chunras ) dem Kloster Baumgartenberg ( Powngartenperig ) seine Hofstatt auf der Hülben, die er von den Juden gekauft hat, zu Seelgerät, unter der Bedingung, dass die Hofstatt zu seinen Lebzeiten und denen seiner genannten Familienmitglieder noch ihnen gehören soll, nach dem Tod aller aber ungehindert an das Kloster fällt. Siegler: Leopold auf dem Markt , Stadtrichter von Krems und Stein . Zeugen: Bartholomä , Rudolf der Mocz , Lorenz von Urfahr , Konrad der Rote , Bernhard der Ramungch , Ulrich im Baumgartenbergerhof , Konrad im Waldhauserhof , Ulrich der Kremser . Source Regest: Stadtarchiv Krems, 2020.;Markhard Hülben|Mechthild Hülben|Elisabeth Hülben|Konrad Hülben|Leopold Markt|Bartholomä|Rudolf der Mocz|Lorenz von Urfahr|Konrad der Rote|Bernhard Ramungch|Ulrich Baumgartenbergerhof|Konrad Waldhauserhof|Ulrich Kremser;markhard_huelben|mechthild_huelben|elisabeth_huelben|konrad_huelben|leopold_markt|bartholomae_1322|rudolf_der_mocz|lorenz_von_urfahr|konrad_der_rote|bernhard_ramungch|ulrich_baumgartenbergerhof|konrad_waldhauserhof|ulrich_kremser;nein;Religion|Stadt und Raum|Vermögen und Finanzen;;StAK-UrkKr-0011
StaAKr-0012;1325 III 31;1325_03_31;nein;1325;Rom, Italien;nein;1325 III 31, Rom Bischof Jakob von Mothone und Bischof Stephan von Vemo verleihen auf Bitten des Kremser Bürgers Bartlolomeus den Besuchern der Kirche zum hl. Veit in Krems für bestimmte Fasttage einen 40 tägigen Ablass. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Jakob von Mothone|Stephan von Vemo|Bartlolomeus;jakob_von_mothone|stephan_von_vemo|bartlolomeus_1325;nein;Religion;;StaAKr-0012
StAKr-UrkKr-0013;1331 X 6;1331_10_06;nein;1331;Krems;nein;1331 X 6, Stein ( in Stain ) Bischof Theodor ( Theoder[us] ) von Dionysia ( Dyonisien[sis] ) aus dem Zisterzienserorden gewährt ( relaxamus ) denjenigen, die die Frühmesse in der St.-Veit-Kirche in Krems ( in Eccl[es]ia sancti Viti Chremse ) besuchen oder sich dem Erhalt, der Beleuchtung und der Ausstattung der Kirche annehmen und beim Läuten der Abendglocken bestimmte Gebete sprechen, einen vierzigtägigen Ablass (quadraginta dies). Source Regest: Rosa Magits, 2024;Theodor von Dionysia;theodor_von_dionysia;nein;Religion;;StAKr-UrkKr-0013
StaAKr-0014;1337 IV 12;1337_04_12;nein;1337;Rom, Italien;nein;1337 IV 12, Rom Die Bischöfe Bonus von Calis und Uguitius von Sutri verleihen auf Bitten des Kremser Bürgers Johannes, den an bestimmten Heiligenfesten die Kirche zum hl. Veit und die Frauenkirche auf dem Berge zu Krems besuchenden einen 40 - tägigen Ablass. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Bischof Bonus von Calis|Bischof Uguitius von Sutri|Johannes;bischof_bonus_von_calis|bischof_uguitius_von_sutri|johannes_1337;nein;Religion;;StaAKr-0014
StAK-UrkKr-0015;1339 VII 13;1339_07_13;nein;1339;Wien;nein;1339 VII 13, Wien ( ze Wienne ) Herzog Albrecht [II.] von Österreich erklärt ( wöllen ) gegenüber seinem Kaplan, Propst Heinrich von Berchtesgaden, jetzt und in Zukunft alle Güter, die das Kloster in Österreich gekauft hat, vor Schaden ( gwalt ) und Unrecht zu schützen ( vogt unnd scherm sein ... fristen und  schirmen ). Siegler: der Aussteller. Source Regest: Stadtarchiv Krems, 2020.;Albrecht II.|Propst Heinrich von Berchtesgaden;albrecht_ii|propst_heinrich_von_berchtesgaden;nein;Rechtswesen|Religion|Vermögen und Finanzen;;StAK-UrkKr-0015
StAK-UrkKr-0016;1340 III 12;1340_03_12;nein;1340;Gneixendorf;nein;"1340 III 12 Leukhard ( Leukart ), die Witwe von Konrad Schuster ( Schu?zters ) am Korngries in Krems , verkauft ( verchauft han ) und bestätigt ( hab ... bestetigt ) mit Zustimmung all ihrer Erben und im Besitz ihrer Kräfte sowie mit Erlaubnis des Grundherrn ( pu?rchherren ), Bruder erbern ) mit Zustimmung all ihrer Erben und im Besitz ihrer Kräfte  sowie mit Erlaubnis des Grundherrn (pu?rchherren), Bruder Rüdiger ( Rueger ) von Aldersbach , derzeit Hofmeister im Aldersbacher Hof in Gneixendorf ) dem erbern Priester, dem alten Gneusendorf ) dem alten Bartholomäus ), um vier Pfund Wiener Pfennige ein halbes Pfund Wiener Pfennige auf ihrem Haus am Korngries, die jährlich am Martinstag an den jeweiligen Pfleger des Zwölf-Apostel-Altars ( Bertelmen ) abzuführen sind, um vier Pfund Wiener Pfennige. Das Geld soll zur jährlichen Erneuerung der Kerzen aufgewendet werden. Dem Aldersbacher Hof in Gneixendorf müssen jährlich zu Michaelis dreißig Wiener Pfennige abgeführt werden. Wird die Abgabe nicht am festgesetzten Tag entrichtet, verfällt der Kauf nach dem Burgrecht (so vervelt sich wandel dar auf, als purchrechts recht ist) und dem Gewohnheitsrecht in Österreich. Der jeweilige Pfleger des Zwölf-Apostel-Altars hat auch die Berechtigung (gewalt), die Ausstellerin oder den- oder diejenigen, die nach ihr Nutz und Gewähr am betreffenden Haus haben (in nutz und in gewer). Wenn die Ausstellerin ein anderes halbes Pfund kauft, das gesichert ist (pfenden). Wenn die Ausstellerin ein anderes halbes Pfund, das gesichert ist (daz als sicher un[d] als gewis leit), hat sie darauf uneingeschränkte Ansprüche und Rechte (voln gewalt und recht).Siegler: Rüdiger von Aldersbach; Dechant Konrad von Krems; Hans, Judenrichter von Krems mangels Siegel der Ausstellerin. Quelle Regest: Stadtarchiv Krems, 2020.";Leukhard Schuster|Konrad Schuster|Rüdiger von Aldersbach|Bartholomäus|Bertelmen|Dechant Konrad|Hans Judenrichter;leukhard_schuster|konrad_schuster_krems_1340|ruediger_von_aldersbach|bartholomaeus_1340|bertelmen_1340|dechant_konrad|hans_judenrichter;nein;Religion|Stadt und Raum|Vermögen und Finanzen;;StAK-UrkKr-0016
StAK-UrkKr-0017;1344 II 22;1344_02_22;nein;1344;Gneixendorf;nein;"1344 II 22 Peter Gottschalk ( Gotschalich ) und seine Ehefrau Sabine ( Sabey ), verkaufen und geben ( v[er]chauffet und gegeben haben ) und bestätigen ( haben ... bestett ) mit Zustimmung und Erlaubnis ( gunst ) aller Erben ihrem Grundherrn ( H[er]ren ), Dechant Konrad , sowie dessen Bruderschaft zu deren Ausstattung ( in ier tzech ) ein Pfund Wiener Pfennige ewige Gült ( gult ) um sieben Pfund Pfennige, die sie vollständig erhalten haben. Die Gült kommt mit Zustimmung des Bergmeisters ( P[er]chmaist[er]s ), Otto der Neukomm ( Neuchu?mes ), Bürger von Stein ( Stayn ), von einem Weingarten, der ein Joch groß ist und am Goldberg ) liegt und von dem jährlich zu Michaelis acht Pfennig Burgrecht ( Pu?rchrecht ) abzuführen sind, weiters von einem Weingarten am Helbling , der ein Joch groß ist und von dem jährlich fünf Pfennig Burgrecht abzuführen sind, und schließlich von einem Weingarten an gleicher Stelle ( da pei ), den man Lehrmeister ( Lermaist[er] ) nennt, drei Viertel groß ist und von dem jährlich zwei Pfennig zu entrichten sind. Für den Verkauf dieses Weingartens hat der Bergmeister, Bruder Engelhart, Hofmeister im Aldersbacherhof (Alderspekcher Hof) in Gneixendorf (Gnaeussendorf), seine Zustimmung erteilt. Von diesem sollen die Aussteller oder wer auch immer den Weingarten künftig innehat jährlich am Martinstag die Abgaben zahlen, andernfalls verfällt nach dem Burgrecht in Österreich der Kauf (v[er]vellet sich wandel dar auf nach Pu?rchrechtz recht). Die sieben Pfund, um die die Gült gekauft wurde, wurde der Bruderschaft für das Seelenheil des verstorbenen Hofmeisters Ulrich) und des gestiftet. Siegler: Wilhelm des Apothekers (Apoteker) (Wilhelm des Apothekers) gestiftet. Siegler: Wilhelm den Apotheker) gestiftet. Siegler: Apoteker) gestiftet. ÖsterreichSiegler: Otto der Neukomm; Bruder Engelhart; Jans von Weitra (Weyt[ra]), Jans von Weitra und Judenrichter von Krems (Chrems).Siegler: Otto der Neukomm; Bruder Engelhart; Jans von Weitra (Weyt[ra]), Richter und Judenrichter von Krems (Chrems). Quelle Regest: Stadtarchiv Krems, 2020.";Peter Gottschalk|Sabine Gottschalk|Dechant Konrad|Otto Neukomm|Bruder Engelhart|Hofmeister Ulrich|Wilhelm Apotheker|Jans von Weitra;peter_gottschalk|sabine_gottschalk|dechant_konrad|otto_neukomm|bruder_engelhart|hofmeister_ulrich|wilhelm_apotheker|jans_von_weitra;nein;Grund und Boden|Religion|Vermögen und Finanzen|Wirtschaft;;StAK-UrkKr-0017
StaAKr-0018;1344 VII 25;1344_07_25;nein;1344;Melk;nein;1344 VII 25, Krems Heinrich der Mager und Berta seine Frau schenken dem Spital zu Krems ihr Haus auf der Krems bei dem Brücklein sowie zwei Joch Weingärten, das eine auf der Melker Peunt, das andere auf der Haid, dafür gestattet ihnen der Rat, diese Güte zu benützen zur Verbesserung ihrer Pfründe, welche sie vom Spital beziehen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Heinrich Mager|Berta Mager;heinrich_mager|berta_mager;nein;Soziales Leben|Stadt und Raum|Vermögen und Finanzen;;StaAKr-0018
StaAKr-0019;1344 XII 06;1344_12_06;nein;1344;Ybbs an der Donau;nein;1344 XII 06 Konrad der Schyller, Bürger zur Ybbs und Marta, seine Hausfrau verkaufen Heinrich dem Krautwuerm, Bürger zu Krems und seiner Gattin Jutta ihren Weingarten auf dem Weinzierlberg um 31 Pfund Pfen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Konrad Schyller|Marta Schyller|Heinrich Krautwurm|Jutta Krautwurm;konrad_schyller|marta_schyller|heinrich_krautwurm|jutta_krautwurm;nein;Stadt und Raum|Vermögen und Finanzen|Wirtschaft;;StaAKr-0019
StaAKr-0020;1344 XII 21;1344_12_21;nein;1344;Rehberg bei Krems;nein;1344 XII 21 Konad der Sparenranft von Rehberg und sein Weib Gertrud schenken dem Spital Krems zu Ihrem Seelenheil 60 Pen. Gülten und zwei Eimer Weingülten, die jährlich von ihrem Weingarten an dem Pframbach, genannt das Gaertel zu entrichten sind. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Konad Sparenranft|Gertrud Sparenranft;konad_sparenranft|gertrud_sparenranft;nein;Religion|Soziales Leben|Vermögen und Finanzen|Wirtschaft;;StaAKr-0020
StaAKr-0021;1345 III 6;1345_03_06;nein;1345;Krems;nein;1345 III 6 Rudolf, Wilhelms Sohn und sein Weib Gertrud beurkunden, dass sie dem Spital zu Krems jährlich zu St. Martin 60 Pfen. Burgrecht von einem halben Joch Weingarten auf dem Oberen Wartberg dienen sollen, welches ihnen der Oberste Spitalmeister, Ulrich der Gärber um den genannten Zins überlassen hat Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Rudolf Wilhelmssohn|Gertrud Wilhelmssohn|Ulrich Gärber;rudolf_wilhelmssohn|gertrud_wilhelmssohn|ulrich_gaerber;nein;Soziales Leben|Vermögen und Finanzen|Wirtschaft;;StaAKr-0021
StaAKr-0022;1347 III 11;1347_03_11;nein;1347;Krems;nein;"1347 III 11 Der Bürger Koloman von Stein verpflichtet sich eidlich, dem Rate und den Bürgern von Krems und Stein, dass er keinen irgendwie schädigen werde; sollte er es doch tun, so möge ihn der Stadtrichter rufen und strafen. Im Falle der Flucht, wäre er vogelfrei. Überdies dürfe er über ein Jahr hindurch im Burgfrieden beider Städte keine Waffen tragen (Urfehdebrief). Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Koloman von Stein;koloman_von_stein;nein;Politik|Rechtswesen;;StaAKr-0022
StaAKr-0023;1347 VIII 15;1347_08_15;nein;1347;Krems;nein;1347 VIII 15, Krems Heinrich der Schneider und seine Hausfrau Katharina beurkunden, daß sie die Gülte (Rente) von 6 Pf. welche sie jährlich an den Dechant Konrad und die Priesterbruderschaft zu dienen hatten, abgelöst haben, so daß dieser Zins nun von dem Weingarten Otto des Zimmermanns zu zahlen ist. Doch haben sie noch 60 Pf. Gülten zu Georgi an die Bruderschaft zu dienen und diese legen sie auf ihr Haus zu Krems, aber unter Vorbehalt der Ablösung. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Heinrich Schneider|Katharina Schneider|Dechant Konrad|Otto Zimmermann;heinrich_schneider|katharina_schneider|dechant_konrad|otto_zimmermann;nein;Religion|Vermögen und Finanzen;;StaAKr-0023
