id;Datum;Datum_unsicher;Name;personen_id;Beruf;Beruf_unsicher;Wirtschaftssektor;Buergen;buergen_id;Buergen_Berufe;Anmerkungen;Ort;orte_unsicher;Datum_Anmerkung;zuordnung_sicher;unsicherheit_anmerkung
BB-0617;1555-12-22;;Cristoff Räbl;christoph_raebl;Fleischhacker;;Lebensmittelhandwerk;;;;Erstmalig vorstellig am 6. September 1555.;;;;ja;
BB-0618;1555-12-22;;Hanns Walch;hans_walch;Maurer;;Holz, Bau & Stein;;;;;;;;ja;
BB-0619;1555-12-22;;Georg Straub;georg_straub;;;;;;;;;;;;
BB-0620;1555-12-22;;Georg Trütkhl;georg_truetkhl;;;;;;;;;;;;
BB-0621;1555-12-22;;Caspar Gerinnger;kaspar_gerinnger;;;;;;;;;;;;
BB-0622;1555-12-22;;Anndre Pez;andreas_pez;Bäcker;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0623;1555-12-22;;Leopoldt Mair;leopold_mayr;Kürschner;;Leder & Pelz;;;;;;;;ja;
BB-0624;1555-12-22;;Collman Fuhrman;koloman_fuhrmann;;;;;;;;;;;;
BB-0625;1555-12-22;;Paull Aigner;paul_aigner;Fuhrmann;;Transport & Wasserwesen;;;;Erstmalig vorstellig am 15. September 1553 und am 15. Dezember 1553.;;;;ja;
BB-0626;1555-12-22;;Wolfganng Grabner;wolf_grabner;Bäcker;;Lebensmittelhandwerk;;;;Erstmalig vorstellig am 17. Februar 1553 und am 28. April 1553.;;;;ja;"personen_id vereinheitlicht (vorher wolfgang_grabner): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0491 (""Wolf Grabner"", Ähnlichkeit 0.828) - dieselbe Person."
BB-0627;1555-12-22;;Mare Stainer;mare_stainer;Fuhrmann;;Transport & Wasserwesen;;;;;;;;ja;
BB-0628;1555-12-22;;Georg Haider;georg_haider;Schuster;;Leder & Pelz;;;;;;;;ja;
BB-0629;1555-12-22;;Hanns Puechleutner;hans_puechleutner;Hauer;;Landwirtschaft & Weinbau;;;;;;;;ja;
BB-0630;1555-12-22;;Georg Plaß;georg_plass;Glaser;;Holz, Bau & Stein;;;;;;;;ja;
BB-0631;1555-12-22;;Matheus Poxeder;matthaeus_poxeder;Schneider;;Textil & Bekleidung;;;;Erstmalig vorstellig am 12. Februar 1555 unter Matheusen Pockhbader.;;;;ja;
BB-0632;1555-12-22;;Thoman Pollreiter;thomas_pollreiter;Bogenbauer;;Metall & Waffen;;;;Erstmalig vorstellig am 8. März 1555.;;;;ja;
BB-0633;1555-12-22;;Hanns Turmair;hans_turmair;Bäcker;;Lebensmittelhandwerk;;;;Erstmalig vorstellig am 21. Juni 1555.;;;;ja;
BB-0634;1555-12-22;;Davidt Lorennz;david_lorennz;Drechsler;;Holz, Bau & Stein;;;;Erstmalig vorstellig am 30. August 1555.;;;;ja;
BB-0635;1555-12-22;;Michael Fellnkhössl;michael_fellnkhessl;Klampferer;;Metall & Waffen;;;;Erstmalig vorstellig am 19. November 1555 unter Michaelln Fellnkhessl.;;;;ja;
BB-0636;1555-12-22;;Hanns Reyter;hans_reyter;;;;;;;;;;;;
BB-0637;1555-12-22;;Cristoff Zoller;christoph_zoller;Hofmeister;;Verwaltung, Recht & Bildung;;;;;;;;ja;
BB-0638;1555-12-22;;Thoman Auschofer;thomas_auschofer;;;;;;;;;;;;
BB-0639;1555-12-22;;Matheus Sulzpeckh;matthaeus_sulzpeck;;;;;;;;;;;;
BB-0640;1555-12-22;;Paull Starzen;paul_starzen;Fleischhacker;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0641;1555-12-22;;Michel Behaim;michael_behaim;;;;;;;;;;;;
BB-0642;1555-12-22;;Georg Wagerer;georg_wagerer;;;;;;;[der Hannsin man];;;;;
BB-0643;1555-12-22;;Hanns Abeller;hans_abeller;Uhrmacher;;Metall & Waffen;;;;;;;;ja;
BB-0644;1555-12-22;;Sixt Leim Weinmar;sixt_leim_weinmar;;;;;;;;;;;;
BB-0645;1555-12-22;;Wunderlich;wunderlich;;;;;;;;;;;;
BB-0646;1555-12-22;;Reischl;reichl;;;;;;;;;;;;
BB-0647;1555-12-22;;Stacherl;stacherl;;;;;;;;;;;;
BB-0648;1555-12-22;;Mort Steckmair;mort_steckmair;;;;;;;;;;;;
BB-0649;1555-12-22;;Jacob Khochl;jakob_kochel;Seiler;;Transport & Wasserwesen;;;;;;;;ja;
BB-0650;1555-12-22;;Dionisy Seiboldt;dionysius_seiboldt;Kramer;;Handel;;;;;;;;ja;
BB-0651;1555-12-22;;Caspar Scheichl;kaspar_scheichl;Binder;;Holz, Bau & Stein;;;;;;;;ja;
BB-0652;1556-01-31;;Hanns Khunis;hans_kunis;Buchführer;;Handel;Jacob Sporer.;jakob_sporer;;;;;;nein;"Zuordnung zu Wirtschaftssektor unsicher: Bedeutung/Zuordnung des Berufs ""Buchführer"" nicht eindeutig klärbar."
BB-0653;1556-01-31;;Jacob Rainpeckh;jakob_rainpeck;Bäcker;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0654;1556-02-14;;Michaelln Sohern;michael_sohern;;;;Seiz Mosser, Hanns Riemer.;seiz_mosser|hans_riemer;;;;;;;
BB-0655;1556-02-28;;Hanns Pranntstetter;hans_pranntstetter;Binder;;Holz, Bau & Stein;;;;;;;;ja;
BB-0656;1556-03-10;;Steffan Schneider;stephan_schneider;Sieber;;Sonstiges Handwerk;;;;;;;;ja;
BB-0657;1556-04-17;;Wolfganng Khlampfl;wolfgang_klampfl;Schlosser;;Metall & Waffen;;;;;;;;ja;
BB-0658;1556-06-05;;Wolfganngen Khlämpfl;wolfgang_klampfl;Schlosser;;Metall & Waffen;Jacob Anndre (Schuster) (Bürger zu Krems), Hannß Drescher (Zinngießer).;jakob_anndre|hans_drescher;Schuster|Zinngießer;Erstmalig vorstellig am 17. April 1556 unter Wolfganng Khlampfl.;;;;ja;
BB-0659;1556-06-05;;Eustachien Laimgruebers;eustachius_laimgrueber;Handschuhmacher;;Leder & Pelz;Rueprecht Seiz, Matheus Nadler.;ruprecht_seiz|matthaeus_nadler;;;;;;ja;
BB-0660;1556-06-05;;Paulln Mülbachers;paul_muelbacher;Zimmermann;;Holz, Bau & Stein;;;;;;;;ja;
BB-0661;1556-06-12;;Ambrosy Winnckhler;ambrosius_winckler;;;;;;;;;;;;
BB-0662;1556-07-03;;Gilg Eder;aegidius_eder;Branntweinhändler;;Gastgewerbe & Getraenke;;;;;;;;ja;
BB-0663;1556-07-10;;Paullus Mülbacher;paul_muelbacher;Zimmermann;;Holz, Bau & Stein;Steffan Pranntmair (Kürschner).;stephan_pranntmair;Kürschner;Erstmalig vorstellig am 5. Juni 1556.;;;;ja;
BB-0664;1556-07-21;;Urban Khaltnegger;urban_kaltnegger;;;;;;;;;;;;
BB-0665;1556-07-21;;Georg Perg;georg_perg;Barbier;;Gesundheit;Jacob Sackhl.;jakob_sackl;;;;;;ja;
BB-0666;1556-08-07;;Dionisi Puerer;dionysius_puerer;Bäcker;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0667;1556-08-07;;Hannsen Widenman;hans_widenman;Barchentweber;;Textil & Bekleidung;;;;;;;;ja;
BB-0668;1556-11-06;;Cristoff Fölsz;christoph_foelss;;;;;;;;;;;;
BB-0669;1556-11-20;;Hanns Widenman;hans_widenman;Barchentweber;;Textil & Bekleidung;Hanns Mersch (Schneider), Leonnhart Grieß (Müller).;hans_mersch|leonnhart_griess;Schneider|Müller;Erstmalig vorstellig am 7. August 1556.;;;;ja;
BB-0670;1556-11-20;;Hainrich Khrauß;heinrich_krauss;Hutmacher;;Textil & Bekleidung;Jacob Anndre.;jakob_anndre;;;;;;ja;
BB-0671;1556-12-04;;Annthoni Khärl;anton_kaerl;Tischler;;Holz, Bau & Stein;Cristoff Ruodsperger.;christoph_ruodsperger;;;;;;ja;
BB-0672;1556-12-04;;Blasy Freiwalt;blasius_freiwalt;Weißgerber;;Leder & Pelz;Bartlme Liechtenauer.;bartholomaeus_liechtenauer;;;;;;ja;
BB-0673;1556-12-22;;Hanns Pranntstetter;hans_pranntstetter;Binder;;Holz, Bau & Stein;;;;Erstmalig vorstellig am 28. Februar 1556.;;;Hernachbeschribme burger haben den 22. Decembris anno etc. im 56isten vor erwellung den aidt gethan.;ja;
BB-0674;1556-12-22;;Steffan Schneider;stephan_schneider;Sieber;;Sonstiges Handwerk;;;;Erstmalig vorstellig am 10. März 1556.;;;;ja;
BB-0675;1556-12-22;;Wolfganng Khlampfl;wolfgang_klampfl;Schlosser;;Metall & Waffen;;;;Erstmalig vorstellig am 17. April 1556 und am 5. Juni 1556.;;;;ja;
BB-0676;1556-12-22;;Eustachius Laimgrueber;eustachius_laimgrueber;;;;;;;Erstmalig vorstellig am 5. Juni 1556.;;;;;
BB-0677;1556-12-22;;Ambrosy Winnckhler;ambrosius_winckler;;;;;;;Erstmalig vorstellig am 12. Juni 1556.;;;;;
BB-0678;1556-12-22;;Gilg Eder;aegidius_eder;Branntweinhändler;;Gastgewerbe & Getraenke;;;;Erstmalig vorstellig am 3. Juli 1556.;;;;ja;
BB-0679;1556-12-22;;Georg Perger;georg_perg;Barbier;;Gesundheit;;;;Erstmalig vorstellig am 21. Juli 1556.;;;;ja;"personen_id vereinheitlicht (vorher georg_perger): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0665 (""Georg Perg"", Ähnlichkeit 0.909) - dieselbe Person."
BB-0680;1556-12-22;;Hanns Widenman;hans_widenman;Barchentweber;;Textil & Bekleidung;;;;Erstmalig vorstellig am 7. August 1556 und am 20. November 1556.;;;;ja;
BB-0681;1556-12-22;;Annthoni Kharl;anton_kaerl;Tischler;;Holz, Bau & Stein;;;;Erstmalig vorstellig am 4. Dezember 1556.;;;;ja;"personen_id vereinheitlicht (vorher anton_karl): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0671 (""Annthoni Khärl"", Ähnlichkeit 1.0) - dieselbe Person."
BB-0682;1556-12-22;;Blasy Freiwaldt;blasius_freiwalt;Weißgerber;;Leder & Pelz;;;;Erstmalig vorstellig am 4. Dezember 1556.;;;;ja;"personen_id vereinheitlicht (vorher blasius_freiwaldt): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0672 (""Blasy Freiwalt"", Ähnlichkeit 0.966) - dieselbe Person."
BB-0683;1556-12-22;;Adam Handl;adam_handl;;;;;;;;;;;;
BB-0684;1556-12-22;;Caspar Gerinnger;kaspar_gerinnger;;;;;;;Erstmalig vorstellig am 22. Dezember 1555.;;;;;
BB-0685;1556-12-22;;Leonhart Punngartner;leonhard_punngartner;Lebzelter;;Lebensmittelhandwerk;;;;;;;;ja;
BB-0686;1556-12-22;;Jaseph Grafenpeckh;joseph_grafenpeck;Hauer;;Landwirtschaft & Weinbau;;;;;;;;ja;
BB-0687;1556-12-22;;Ulrich Khneissl;ulrich_kneissl;;;;;;;;;;;;
BB-0688;1556-12-22;;Conradt Khrauß;konrad_krauss;;;;;;;;;;;;
BB-0689;1556-12-22;;Cristoff Walkhircher;christoph_walkhircher;Binder;;Holz, Bau & Stein;;;;;;;;ja;
BB-0690;1556-12-22;;Georg Roß;georg_ross;Glaser;;Holz, Bau & Stein;;;;;;;;ja;
BB-0691;1556-12-22;;Lorennz Bischof;lorenz_bischof;Schlosser;;Metall & Waffen;;;;;;;;ja;
BB-0692;1557-01-08;;Hanns Unfridt;hans_unfridt;Binder;;Holz, Bau & Stein;Michael Khlerpaumb (Bürger zu Krems), N. Khreuß (Binder) (Bürger zu Krems).;michael_klerbaum|n_krauss;|Binder;;;;;ja;
BB-0693;1557-01-26;;Georg Lannckhmair;georg_lannckmair;Hafner;;Holz, Bau & Stein;;;;;;;;ja;
BB-0694;1557-02-05;;Joseph Khrumpolz;joseph_krumpolz;Binder;;Holz, Bau & Stein;;;;;;;;ja;
BB-0695;1557-02-12;;Larenntz Frollich;laurenz_frollich;;;;;;;;;;;;
BB-0696;1557-03-05;;Georg Voller;georg_voller;;;;;;;;;;;;
BB-0697;1557-03-05;;Hanns Pürckhl;hans_puerckl_2;;;;;;;;;;;;
BB-0698;1557-03-26;;Paulln Otto;paul_otta;;;;;;;;;;;;
BB-0699;1557-04-05;;Geörgen Geir;georg_geyr;;;;;;;Khallingers furschrifft.;;;;;
BB-0700;1557-04-30;;Merth Neuber;martin_neuber;Bildschnitzer;;Kunst, Musik & Unterhaltung;;;;;;;;ja;
BB-0701;1557-06-04;;Matheus Düerstperger;matthaeus_dueerstperger;;;;Hanns Freithafer.;hans_freithafer;;;;;;;
BB-0702;1557-07-16;;Michael Sacherl;michael_sacherl;Sporer;;Metall & Waffen;Hanns Holzinger, Cristoff Lanng.;hans_holzinger|christoph_lanng;;;;;;ja;
BB-0703;1557-07-16;;Hanns Tham;hans_thamb;Goldschmied;;Metall & Waffen;;;;;;;;ja;
